2024-12-25 02:33:10 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h36m14s955ms).
2024-12-25 04:21:22 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h48m12s31ms).
2024-12-25 06:09:28 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h48m5s967ms).
2024-12-25 07:16:29 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h7m792ms).
2024-12-25 09:21:48 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h5m18s961ms).
2024-12-25 11:14:08 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h52m19s637ms).
2024-12-25 11:15:10 WARN  - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m1s961ms).
2024-12-25 11:15:44 INFO  - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-12-25 11:15:44 INFO  - HikariPool-1 - Shutdown initiated...
2024-12-25 11:15:44 INFO  - HikariPool-1 - Shutdown completed.
2024-12-25 11:15:53 INFO  - Starting PodoCareWebsiteApplication using Java 21.0.5 with PID 23110 (/Users/konto/Desktop/podocarePRO/PodoCareWebsite/target/classes started by Wojtek in /Users/konto/Desktop/podocarePRO/PodoCareWebsite)
2024-12-25 11:15:53 INFO  - No active profile set, falling back to 1 default profile: "default"
2024-12-25 11:15:55 INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-25 11:15:56 INFO  - Finished Spring Data repository scanning in 211 ms. Found 11 JPA repository interfaces.
2024-12-25 11:15:57 INFO  - Tomcat initialized with port 8080 (http)
2024-12-25 11:15:57 INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2024-12-25 11:15:57 INFO  - Starting service [Tomcat]
2024-12-25 11:15:57 INFO  - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-12-25 11:15:57 INFO  - Initializing Spring embedded WebApplicationContext
2024-12-25 11:15:57 INFO  - Root WebApplicationContext: initialization completed in 3129 ms
2024-12-25 11:15:57 INFO  - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-25 11:15:57 INFO  - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-12-25 11:15:57 INFO  - HHH000026: Second-level cache disabled
2024-12-25 11:15:58 INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-25 11:15:58 INFO  - HikariPool-1 - Starting...
2024-12-25 11:15:58 INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@62cd562d
2024-12-25 11:15:58 INFO  - HikariPool-1 - Start completed.
2024-12-25 11:15:58 WARN  - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-12-25 11:16:00 INFO  - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-12-25 11:16:01 INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-25 11:16:01 INFO  - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-12-25 11:16:05 WARN  - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-25 11:16:06 INFO  - Starting ProtocolHandler ["http-nio-8080"]
