2025-05-13 12:33:38 INFO  - Starting PodoCareWebsiteApplication using Java 21.0.2 with PID 15276 (C:\Users\Wojtek\Desktop\nowy projekt\PodoCarePRO\be\PodoCareWebsite\target\classes started by Wojtek in C:\Users\Wojtek\Desktop\nowy projekt\PodoCarePRO\be)
2025-05-13 12:33:38 INFO  - No active profile set, falling back to 1 default profile: "default"
2025-05-13 12:33:39 INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-13 12:33:39 INFO  - Finished Spring Data repository scanning in 59 ms. Found 7 JPA repository interfaces.
2025-05-13 12:33:40 INFO  - Tomcat initialized with port 8080 (http)
2025-05-13 12:33:40 INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-13 12:33:40 INFO  - Starting service [Tomcat]
2025-05-13 12:33:40 INFO  - Starting Servlet engine: [Apache Tomcat/10.1.30]
2025-05-13 12:33:40 INFO  - Initializing Spring embedded WebApplicationContext
2025-05-13 12:33:40 INFO  - Root WebApplicationContext: initialization completed in 1176 ms
2025-05-13 12:33:40 INFO  - HikariPool-1 - Starting...
2025-05-13 12:33:40 INFO  - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5934153e
2025-05-13 12:33:40 INFO  - HikariPool-1 - Start completed.
2025-05-13 12:33:40 INFO  - Set default schema name to public
2025-05-13 12:33:41 INFO  - Reading from public.databasechangelog
2025-05-13 12:33:41 INFO  - Reading from public.databasechangelog
2025-05-13 12:33:41 INFO  - UPDATE SUMMARY
2025-05-13 12:33:41 INFO  - Run:                          0
2025-05-13 12:33:41 INFO  - Previously run:              15
2025-05-13 12:33:41 INFO  - Filtered out:                 0
2025-05-13 12:33:41 INFO  - -------------------------------
2025-05-13 12:33:41 INFO  - Total change sets:           15

2025-05-13 12:33:41 INFO  - Update summary generated
2025-05-13 12:33:41 INFO  - Successfully released change log lock
2025-05-13 12:33:41 INFO  - Command execution complete
2025-05-13 12:33:41 INFO  - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-13 12:33:41 INFO  - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-05-13 12:33:41 INFO  - HHH000026: Second-level cache disabled
2025-05-13 12:33:41 INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-13 12:33:41 WARN  - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-13 12:33:42 INFO  - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-13 12:33:42 INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-13 12:33:42 INFO  - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-13 12:33:43 WARN  - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-13 12:33:44 INFO  - Starting ProtocolHandler ["http-nio-8080"]
2025-05-13 12:33:44 INFO  - Tomcat started on port 8080 (http) with context path '/'
2025-05-13 12:33:44 INFO  - Started PodoCareWebsiteApplication in 5.364 seconds (process running for 5.952)
2025-05-13 13:42:37 INFO  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-13 13:42:37 INFO  - Initializing Servlet 'dispatcherServlet'
2025-05-13 13:42:37 INFO  - Completed initialization in 3 ms
2025-05-13 13:52:26 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:42 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:42 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:43 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:43 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:43 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:43 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:45 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:45 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:45 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:46 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:52:47 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:55:13 ERROR - Resource not found: Product not found with given id.
2025-05-13 13:55:13 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:40 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:40 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:41 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:48 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:49 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:50 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:50 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:50 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:55 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:55 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:02:59 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:01 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:02 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:02 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:02 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:03 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:03 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:05 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:03:05 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:04 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:04 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:34 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:35 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:35 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:04:51 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:05:44 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:05:51 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:05:56 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:05:59 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:06:31 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:06:53 ERROR - Resource not found: Product not found with given id.
2025-05-13 14:06:58 ERROR - Resource not found: Product not found with given id.
